ITEM NAME,ORDER SIZE,COUNT,PAR SIZED,PAR,NOTES,CATEGORY,SUPPLIER
"Vinegar, Apple Cider","jug","","container","2.0","","PANTRY & DRY GOODS","HILLCREST"
"Vinegar, Red Wine","jug","","container","1.0","","PANTRY & DRY GOODS","HILLCREST"
"Champagne Vinegar","case","","container","1.0","","PANTRY & DRY GOODS","HILLCREST"
"Caramel","case","","case","0.5","","PANTRY & DRY GOODS","HILLCREST"
"Grill Butter","container","","container","1.0","","PANTRY & DRY GOODS","HILLCREST"
"Jelly","case","","case","0.5","ask FOH if they need it","PANTRY & DRY GOODS","HILLCREST"
"Maple Syrup","jug","","container","1.0","","PANTRY & DRY GOODS","HILLCREST"
"Sugar, Brown","case","","case","0.5","","PANTRY & DRY GOODS","HILLCREST"
"Vanilla","container","","container","1.0","","PANTRY & DRY GOODS","HILLCREST"
"Truffle Oil","case","","bottle","2.0","","PANTRY & DRY GOODS","HILLCREST"
"Dijon","jug","","container","1.0","","PANTRY & DRY GOODS","HILLCREST"
"Stadium Mustard","jug","","container","1.0","","PANTRY & DRY GOODS","HILLCREST"
"Diamond Crystal Kosher Salt","case","","box","2.0","","PANTRY & DRY GOODS","HILLCREST"
"Whole Grain Mustard","jug","","container","0.5","","PANTRY & DRY GOODS","HILLCREST"
"Pepitas","case","","bag","0.5","","PANTRY & DRY GOODS","HILLCREST"
"Waffle Mix","case","","bag","2.0","","PANTRY & DRY GOODS","HILLCREST"
"Pine Nuts","case","","case","0.25","","PANTRY & DRY GOODS","HILLCREST"
"Golden Raisins","case","","case","1.0","","PANTRY & DRY GOODS","HILLCREST"
"Calabrain Chiles","case","","case","1.0","","PANTRY & DRY GOODS","HILLCREST"
"Gochujang","case","","case","1.0","","PANTRY & DRY GOODS","HILLCREST"
"Giardineria","tub","","container","0.5","","PANTRY & DRY GOODS","HILLCREST"
"Evoo Bottles","case","","case","0.5","","PANTRY & DRY GOODS","EURO"
"Marcona Almonds","bucket","","container","0.5","","PANTRY & DRY GOODS","EURO"
"Truffle Oil Bottles","case","","container","2.0","","PANTRY & DRY GOODS","EURO"
"Cornichons","can","","container","1.0","","PANTRY & DRY GOODS","EURO"
"Aged Balsamic","container","","container","1.0","rarely ordered.","PANTRY & DRY GOODS","EURO"
"Tamarind","case","","case","0.25","","PANTRY & DRY GOODS","EURO"
"White Verjus","case","","case","0.25","","PANTRY & DRY GOODS","EURO"
"Gigante Beans","case","","case","0.25","","PANTRY & DRY GOODS","EURO"
"Tarragon Mustard","case","","case","1.0","","PANTRY & DRY GOODS","EURO"
"Raincoast Crisps","case","","case","1.0","","PANTRY & DRY GOODS","HAZEROT"
"Sea Salt Crackers","case","","case","1.0","not needed anymore","PANTRY & DRY GOODS","HAZEROT"
"Almonds, Marcona","bucket","","container","0.5","only ordered if minimum for euro cannot be met","PANTRY & DRY GOODS","HAZEROT"
"Green Peppercorns","case","","case","0.25","","PANTRY & DRY GOODS","HAZEROT"
"Printer Paper","case","","case","1.0","","PAPER & CHEMICALS","HILLCREST"
"Quart Bags","case","","case","1.0","","PAPER & CHEMICALS","HILLCREST"
"Degreaser Spray Bottles","case","1.0","bottle","1.0","","PAPER & CHEMICALS","HILLCREST"
"Degreaser Packets","case","","case","1.0","","PAPER & CHEMICALS","HILLCREST"
"Black Gloves","case","1.0","box","3.0","","PAPER & CHEMICALS","HILLCREST"
"Grill Bricks","case","","each","1.0","","PAPER & CHEMICALS","HILLCREST"
"Paddle Picks","case","","case","1.0","","PAPER & CHEMICALS","HAZEROT"
"Chorizo","case","","bucket","1.0","rene orders chorizo from lous sausage. only order if lous doesnt come","PROTEIN","HILLCREST"
"Tyson Pulled Chicken","case","","bag","1.0","for taco tuesday","PROTEIN","HILLCREST"
"Frozen Carnitas","case","","piece","1.0","for taco tuesday","PROTEIN","HILLCREST"
"Bacon","case","1.0","case","0.5","","PROTEIN","HILLCREST"
"Egg Cartons","case","","case","0.5","","PROTEIN","HILLCREST"
"6 Oz Chicken Breast","case","","bag","1.0","","PROTEIN","HILLCREST"
"Rosemary Ham","of","","each","1.0","","PROTEIN","EURO"
"Strip Steaks","15 count case","","15 count case","2.0","Order is placed already for monday on week of vacation","PROTEIN","CANTONESE"
"Diced Pancetta","case","","case","0.5","","PROTEIN","HAZEROT"
"Burgers, Smashers","80 count case","","80 count case","1.0","Order is placed already for monday on week of vacation","PROTEIN","CANTONESE"
"Octopus","case","","case","1.0","","PROTEIN","HAZEROT"
"Dry Aged Beef","case","","case","2.0","","PROTEIN","MICHAELS MEATS"
"Chili Powder","container","","container","1.0","","SPICES & SEASONINGS","HILLCREST"
"Dried Rosemary","container","","container","1.0","","SPICES & SEASONINGS","HILLCREST"
"Cinnamon","container","","container","1.0","","SPICES & SEASONINGS","HILLCREST"
"Cumin","container","","container","1.0","","SPICES & SEASONINGS","HILLCREST"
"Garlic Powder","container","","container","1.0","","SPICES & SEASONINGS","HILLCREST"
"Nutmeg","container","","container","1.0","","SPICES & SEASONINGS","HILLCREST"
"Onion Powder","container","","container","1.0","","SPICES & SEASONINGS","HILLCREST"
"Cinnamon","container","","container","0.5","","SPICES & SEASONINGS","HILLCREST"
"Black Garlic","jug","","container","1.0","rarely orderd","SPICES & SEASONINGS","HILLCREST"
